open,high,low,close,volume
105263.52,106850.0,105028.0,105139.18,5160.86951
105139.18,106230.42,104211.0,105927.78,1979.38581
105927.78,106142.46,105100.0,105424.39,1193.91319
105424.39,105514.73,103399.98,103770.04,1841.09666
103770.05,106421.03,102559.2,103284.48,9302.16037
103284.01,103410.57,102195.7,103079.08,2569.80136
103079.08,104700.0,102981.07,103978.82,1845.24984
103978.82,104544.48,103776.06,103910.34,723.19154
103910.35,104157.98,103424.58,103446.62,794.72778
103446.62,103900.0,103039.87,103234.3,733.04731
103234.3,103545.39,102956.72,103016.01,790.61956
103016.0,104298.0,102750.0,103891.75,1466.83904
103891.75,104924.4,103804.77,104631.99,924.65561
104631.98,105262.13,104543.21,105222.15,885.69764
105222.15,105355.0,104628.0,104991.01,677.90826
104991.01,105181.82,104660.0,105046.8,654.2354
105046.79,105650.0,104922.41,105500.76,938.64874
105500.76,105759.0,105053.8,105146.67,853.1257
105146.67,105428.0,105051.46,105416.75,671.89744
105416.75,105527.69,105214.15,105420.1,516.72232
105420.11,105586.29,105183.65,105526.58,627.41495
105526.58,105793.61,104982.03,105118.07,752.6107
105118.06,106321.66,104669.17,105758.0,2210.34491
105758.0,105990.5,105259.49,105859.98,1331.94447
105859.99,106174.99,105589.0,105645.89,1432.51588
105645.88,106699.99,105612.0,106458.46,1372.53034
106458.47,107120.0,106056.95,106327.72,1755.13607
106327.31,106606.01,105687.0,105760.94,923.18803
105760.93,105781.0,104736.84,104859.11,1341.56971
104859.4,105391.47,104859.4,105124.61,748.98359
105124.61,105477.0,104706.08,104777.25,540.29145
104777.25,104925.2,104456.89,104870.5,664.58527
104870.51,104870.51,104361.89,104419.59,772.42555
104419.58,104815.01,104380.15,104738.0,449.96362
104738.01,104830.27,104473.67,104559.54,266.96726
104559.54,105280.82,104461.0,105202.4,540.50196
105202.4,105202.4,104620.0,104648.0,332.21617
104647.99,104701.18,104236.95,104365.97,368.22303
104365.96,104480.0,104216.81,104308.0,464.86744
104308.0,104523.25,104287.24,104385.98,241.89788
